product ID,family,name,attenuation low,attenuation high,flocculation,alcohol tol low,alcohol tol high,temp low,temp high,manufacturer
wlp001,ale,California Ale,73,80,medium,10,15,68,73,white labs
wlp002,ale,English Ale,63,70,very high,5,10,65,68,white labs
wlp003,ale,German Ale II,73,80,medium,5,10,65,70,white labs
wlp004,ale,Irish Ale,69,74,medium to high,8,12,65,68,white labs
wlp005,ale,British Ale,67,74,high,5,10,65,70,white labs
wlp006,ale,Bedford British Ale,72,80,high,5,10,65,70,white labs
wlp007,ale,Dry English Ale,70,80,medium to high,8,12,65,70,white labs
wlp008,ale,East Coast Ale,70,75,medium to low,5,10,68,73,white labs
wlp009,ale,Australian Ale Yeast,70,75,high,5,10,65,70,white labs
wlp011,ale,European Ale,65,70,medium,5,10,65,70,white labs
wlp013,ale,London Ale,67,75,medium,5,10,66,71,white labs
wlp017,ale,Whitbread II Ale,67,73,high,5,10,66,70,white labs
wlp019,ale,California IV Ale,,,,,,,,white labs
wlp022,ale,Essex Ale,71,76,medium to high,5,10,66,70,white labs
wlp023,ale,Burton Ale,69,75,medium,5,10,68,73,white labs
wlp025,ale,Southwold Ale,68,75,medium,5,10,66,69,white labs
wlp026,ale,Premium Bitter Ale,70,75,medium,5,10,67,70,white labs
wlp028,ale,Edinburgh Scottish Ale,70,75,medium,8,12,65,70,white labs
wlp029,ale,German Ale/ Kölsch Yeast,72,78,medium,5,10,65,69,white labs
wlp030,ale,Thames Valley Ale,72,78,high,,,,,white labs
wlp033,ale,Klassic Ale,66,74,medium,5,10,66,70,white labs
wlp036,ale,Düsseldorf Alt Ale,65,72,medium,5,10,65,69,white labs
wlp037,ale,Yorkshire Square Ale,68,72,high,8,12,65,70,white labs
wlp038,ale,Manchester Ale,70,74,medium to high,8,12,65,70,white labs
wlp039,ale,East Midlands Ale,73,82,medium to high,5,10,66,70,white labs
wlp041,ale,Pacific Ale,65,70,high,5,10,65,68,white labs
wlp051,ale,California V Ale,70,75,medium to high,8,12,66,70,white labs
wlp059,ale,Melbourne Ale,74,78,medium,,,,,white labs
wlp060,ale,American Ale Blend,72,80,medium,8,12,68,72,white labs
wlp064,ale,Buchner Ale Blend,72,78,medium,8,12,67,72,white labs
wlp066,ale,London Fog Ale,65,70,medium to high,8,12,64,72,white labs
wlp067,ale,Coastal Haze Ale Blend,70,75,medium to low,8,12,68,72,white labs
wlp072,ale,French Ale,68,75,medium to high,5,10,63,73,white labs
wlp073,ale,Artisanal Country Ale,75,80,medium to low,8,12,70,82,white labs
wlp075,ale,Hansen Ale Yeast Blend,75,80,medium to high,10,15,66,70,white labs
wlp076,ale,Sonoma Ale,70,74,medium,5,10,66,70,white labs
wlp080,ale,Cream Ale Yeast Blend,75,80,medium,8,12,65,70,white labs
wlp085,ale,English Ale Yeast Blend,69,76,medium to high,5,10,68,72,white labs
wlp090,ale,San Diego Super Yeast,76,83,medium to high,10,15,65,68,white labs
wlp095,ale,Burlington Ale,73,78,medium,8,12,67,70,white labs
wlp099,ale,Super High Gravity Ale,80,100,medium,15,,65,69,white labs
wlp715,wine,Champagne,75,100,low,15,,70,75,white labs
wlp780,wine,Thai Rice Chong,76,76,,10,15,,,white labs
wlp800,lager,Pilsner Lager,72,77,medium to high,5,10,50,55,white labs
wlp802,lager,Czech Budejovice Lager,75,80,medium,5,10,50,55,white labs
wlp810,lager,San Francisco Lager,65,70,high,8,12,58,65,white labs
wlp815,lager,Belgian Lager,72,78,medium,5,10,50,55,white labs
wlp820,lager,Oktoberfest/Märzen Lager,65,73,medium,8,12,52,58,white labs
wlp830,lager,German Lager,74,79,medium,5,10,50,55,white labs
wlp833,lager,German Bock Lager,70,76,medium,8,12,48,55,white labs
wlp835,lager,German X Lager,70,76,medium,8,12,50,54,white labs
wlp838,lager,Southern German Lager,68,76,medium to high,5,10,50,55,white labs
wlp840,lager,American Lager,75,80,medium,5,10,50,55,white labs
wlp845,lager,Fast Lager,75,78,,,,,,white labs
wlp850,lager,Copenhagen Lager,72,78,medium,5,10,50,58,white labs
wlp860,lager,Munich Helles Lager,68,72,medium,5,10,48,52,white labs
wlp862,lager,Cry Havoc Lager,66,70,low,5,10,55,58,white labs
wlp885,lager,Zurich Lager,70,80,medium,15,,50,55,white labs
wlp920,lager,Old Bavarian Lager,66,73,medium,8,12,50,55,white labs
wlp925,lager,High Pressure Lager,73,82,medium,5,10,62,68,white labs
wlp940,lager,Mexican Lager,70,78,medium,5,10,55,55,white labs
wlp073,belgian/specialty,Artisanal Country Ale,75,80,medium to low,8,12,70,82,white labs
wlp300,belgian/specialty,Hefeweizen Ale,72,76,low,5,10,68,72,white labs
wlp320,belgian/specialty,American Hefeweizen Ale,70,75,low,5,10,65,69,white labs
wlp351,belgian/specialty,Bavarian Weizen,73,77,low,5,10,66,70,white labs
wlp380,belgian/specialty,Hefeweizen IV Ale,73,80,low,5,10,66,70,white labs
wlp400,belgian/specialty,Belgian Wit Ale,74,78,medium to low,5,10,67,74,white labs
wlp410,belgian/specialty,Belgian Wit II Ale,70,75,medium to low,5,10,67,74,white labs
wlp500,belgian/specialty,Monastery Ale,75,80,medium to low,10,15,65,72,white labs
wlp510,belgian/specialty,Bastogne Belgian Ale,74,80,medium,10,15,66,72,white labs
wlp515,belgian/specialty,Antwerp Ale,73,80,medium,5,10,67,70,white labs
wlp530,belgian/specialty,Abbey Ale,75,80,medium to high,10,15,66,72,white labs
wlp540,belgian/specialty,Abbey IV Ale ,74,82,medium,10,15,66,72,white labs
wlp545,belgian/specialty,Belgian Strong Ale,78,85,medium,10,15,66,72,white labs
wlp550,belgian/specialty,Belgian Ale,78,85,medium,8,12,68,78,white labs
wlp564,belgian/specialty,Leeuwenhoek Saison Blend,76,82,low,10,15,66,75,white labs
wlp565,belgian/specialty,Belgian Saison I,65,75,medium,5,10,68,75,white labs
wlp566,belgian/specialty,Belgian Saison II Ale,78,85,medium,5,10,68,78,white labs
wlp568,belgian/specialty,Belgian Style Saison Blend,70,80,medium,5,10,70,80,white labs
wlp570,belgian/specialty,Belgian Golden Ale,73,78,low,10,15,68,75,white labs
wlp575,belgian/specialty,Belgian Style Ale Blend,74,80,medium,8,12,68,75,white labs
wlp590,belgian/specialty,French Saison Ale,73,80,medium,5,10,69,75,white labs
wlp611,belgian/specialty,New Nordic Ale,65,75,medium to low,0,4.8,,,white labs
1007,ale,German Ale,73,77,low,,11,55,68,wyeast
1026-PC,ale,BRITISH CASK ALE,74,77,medium to high,,9,63,72,wyeast
1028,ale,LONDON ALE,73,77,medium to low,,11,60,72,wyeast
1056,ale,AMERICAN ALE,73,77,medium to low,,11,60,72,wyeast
1048,ale,IRISH ALE,71,75,medium,,12,62,72,wyeast
1087-PC,ale,WYEAST BOHEMIAN ALE BLEND,71,75,medium to high,,11,64,72,wyeast
1098,ale,BRITISH ALE,73,75,medium,,10,64,72,wyeast
1099,ale,WHITBREAD ALE,68,72,medium to high,,10,64,75,wyeast
1187,ale,RINGWOOD ALE,68,72,high,,10,64,72,wyeast
1203-PC,ale,BURTON IPA BLEND,71,74,medium to high,,10,64,74,wyeast
1217-PC,ale,WEST COAST IPA,73,80,medium to high,,10,62,74,wyeast
1272,ale,AMERICAN ALE II,72,76,medium,,10,60,72,wyeast
1275,ale,THAMES VALLEY ALE,72,76,medium to low,,10,62,72,wyeast
1318,ale,LONDON ALE III,71,75,high,,10,64,74,wyeast
1332,ale,NORTHWEST ALE,67,71,high,,10,65,75,wyeast
1335,ale,BRITISH ALE II,73,76,high,,10,63,75,wyeast
1450,ale,DENNY'S FAVORITE 50 ALE,74,76,low,,10,60,70,wyeast
1469,ale,WEST YORKSHIRE ALE,67,71,high,,9,64,72,wyeast
1728,ale,SCOTTISH ALE,69,73,high,,12,55,75,wyeast
1768-PC,ale,ENGLISH SPECIAL BITTER,68,72,high,,9,64,72,wyeast
1882-PC,ale,THAMES VALLEY ALE II,72,78,high,,10,60,70,wyeast
1968,ale,LONDON ESB ALE,67,71,high,,9,64,72,wyeast
2565,ale,KÖLSCH,73,77,low,,10,56,70,wyeast
3031-PC,ale,SAISON-BRETT BLEND,80,90,low,,12,65,80,wyeast
3191-PC,ale,BERLINER WEISSE BLEND,73,77,low,,6,68,72,wyeast
3209-PC,ale,Oud Bruin Ale Blend,70,80,varies,,10,80,85,wyeast
9097-PC,ale,OLD ALE BLEND,75,80,medium,,14,68,75,wyeast
1010,wheat,AMERICAN WHEAT,74,78,low,,10,58,74,wyeast
3056,wheat,BAVARIAN WHEAT BLEND,73,77,medium,,10,64,74,wyeast
3068,wheat,WEIHENSTEPHAN WEIZEN,73,77,low,,10,64,75,wyeast
3333-PC,wheat,GERMAN WHEAT,70,76,high,,10,63,75,wyeast
3638,wheat,BAVARIAN WHEAT,70,76,low,,10,64,75,wyeast
